ID,캐릭터 이름,대사,선택지1,선택지1 ID,선택지2,선택지2 ID,정민표정,지훈표정
1,주인공,...?,,,,,,
2,주인공,...이게 무슨 소리지...?,,,,,,
,주인공,앞쪽에서 점점 다가오고 있어...,,,,,,
3,주인공,...!,,,,,,
4,정민,헉! 혹시 거기... 사람이신가요?,,,,,1,
,주인공,....??,,,,,,
,정민,맞구나! 세상에` 사람이다!!!,,,,,0,
,정민,안녕하세요!,,,,,1,
,주인공,.....,,,,,,
,정민,세상에` 전 저만 남겨진 줄 알고 덜덜 떨고 있었지 뭐예요!,,,,,0,
,정민,이렇게 만나게 된 것도 인연인데...,예? 아니` 누구세요?,5,누구신데 저한테 말거세요?,6,0,
5,주인공,예? 아니` 누구세요?,,,,,,
6,주인공,누구신데 저한테 말거세요?,,,,,,
7,정민,전 정민이라고 해요.,아` 네...,8,mbti E로 시작하세요?,9,7,
8,주인공,아` 네...,,,,,,
,정민,혹시 성함이?,,,,,13,
,주인공,저는 player입니다.,,,,,,
,정민,세상에! 멋진 이름이에요! 만나서 정말 반가워요!,,,,,0,
9,주인공,mbti E로 시작하세요?,,,,,,
,정민,어? 그게 뭐예요?,,,,,13,
,주인공,...아니에요.,,,,,,
,정민,하하` 되게 재밌으시다. 혹시 성함이...,,,,,13,
,주인공,저는 player입니다.,,,,,,
,정민,세상에! 멋진 이름이에요! 만나서 정말 반가워요!,,,,,0,
10,정민,그런데 어디 안 좋으세요? 안색이...,,,,,2,
,주인공,아 좀 피곤해서요.,,,,,,
,정민,헉` 어쩐지!,,,,,2,
,정민,제 에너지 음료라도 드릴까요?,받는다.,11,받지 않는다.,12,2,
11,주인공,...감사합니다.,,,,,,
12,주인공,...아니요` 괜찮아요.,,,,,,
13,정민,그나저나` 저희 여길 나가야할 것 같아요.,,,,,6,
,정민,전등이 아까부터 스파크가 튀는 게` 좀 무섭거든요.,,,,,3,
14,정민,어디 쓸만한 도구 없을까요?,,,,,6,
15,정민,오! 이거 딱이네요. 창문을 깰 수 있을 것 같아요!,,,,,0,
16,정민,이건...지금 별 도움이 안되겠네요.,,,,,6,
17,정민,조심히 나와요!,,,,,13,
18,정민,일단` 혹시 모르니 저희 위로 올라가 있어요.,,,,,13,
19,정민,휴` 열차 사고로 죽는 줄 알았네요.,,,,,9,
,정민,이제 어디로 가세요?,우선 4호선 쪽 다시 가서 신고부터 하려고요.,20,3호선으로 갈아타야 할 것 같아요,21,13,
20,주인공,우선 4호선 쪽 다시 가서 신고부터 하려고요.,,,,,,
21,주인공,3호선으로 갈아타야 할 것 같아요,,,,,,
22,정민,그렇구나. 같이 있고 싶지만` 제가 바삐 갈 곳이 있어서요! ,,,,,13,
,정민,마침 가까우니 이만 나가려고요.,손을 흔들어 인사한다,23,어디로 가는지 묻는다,24,13,
23,정민,반가웠어요! 조심히 가요!,,,,,0,
24,정민,....,,,,,5,
,정민,학교...,,,,,5,
,정민,학교로 가는 중이었는데... 헤헤.,,,,,13,
,정민,player씨도 조심히가요!,,,,,13,
25,정민,player씨!! player씨!!!,,,,,2,
,정민,출구가` 출구가 막혀있어요!!,,,,,3,
,주인공,?? 그게 무슨...,,,,,,
26,정민,나갈 수가 없어요! 어떡해요??,같이 3호선을 타자고 한다,28,같이 가서 확인한다,31,2,
27,정민,나갈 수가 없어요! 어떡해요??,같이 가서 확인한다,31,,,2,
28,주인공,3호선은 아직 하는 것 같은데... ,,,,,,
,정민,에휴` 그거라도 타야겠네요.,,,,,3,
,정민,ㅠ^ㅠ,,,,,3,
,안내음,지금` 대화` 대화행 열차가 들어오고 있습니다.,,,,,,
,정민,무슨 역까지 가세요?,1호선으로 갈아타야 해요.,29,정민 씨는요?,30,13,
29,주인공,1호선으로 갈아타야 해요.,,,,,,
,정민,그렇구나. 같이 가요! 혼자 가면 무섭잖아요.,,,,,13,
,정민,...사실 제가 무서워서요. 덜덜...,,,,,3,
30,주인공,정민 씨는요?,,,,,,
,정민,음... 갈아타야 할 것 같은데.,,,,,13,
,정민,.....,,,,,13,
,정민,사실 제가 지하철 잘 몰라서... 헤헤.,,,,,9,
,정민,무슨 역에서 내리세요? 좀만 따라가도 되려나...ㅎㅎ,,,,,0,
31,정민,...이게........,,,,,1,
,정민,뭔일이야 이게!!!!!!!!!!!!,,,,,4,
,정민,어떡하죠??? 전 집에 어떻게 가죠????,,,,,4,
32,주인공,꿈쩍도 안해...,,,,,,
,주인공,여기로는 못 나갈 것 같다.,,,,,,
33,정민,어?! 지하철은 운영하나봐요!,,,,,1,
,정민,저거라도 타야해!!,,,,,1,
,주인공,같이가요!!,,,,,,
